identity_bin,n,blast_recall,embedding_recall
20_to_22.5,2,0.000000,0.000000
22.5_to_25,5,0.200000,0.200000
25_to_27.5,7,0.714286,0.714286
27.5_to_30,7,0.857143,0.428571
30_to_32.5,6,0.666667,0.500000
32.5_to_35,6,0.666667,0.333333
35_to_37.5,8,0.875000,0.750000
37.5_to_40,10,0.900000,0.100000
40_to_42.5,5,0.800000,0.200000
42.5_to_45,10,1.000000,0.300000
45_to_47.5,0,NA,NA
47.5_to_50,4,1.000000,0.500000
50_to_55,12,1.000000,0.500000
55_to_60,7,1.000000,0.285714
60_to_65,12,1.000000,0.416667
65_to_70,5,1.000000,0.600000
70_to_75,7,1.000000,0.857143
75_to_80,8,1.000000,0.750000
80_to_85,5,1.000000,0.600000
85_to_90,12,1.000000,0.250000
